username,Active Directory,AWS IAM,Okta,ad_effective_privilege,ad_direct_privilege,ad_inherited_privilege,aws_effective_privilege,aws_direct_privilege,aws_inherited_privilege,okta_effective_privilege,okta_direct_privilege,okta_inherited_privilege
matthew.parker,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
jessica.fowler,Admin,Admin,User,GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Dev-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
brenda.lawson,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
keith.jacobs,Admin,Admin,User,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
ernest.ramirez,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
cindy.carr,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
rita.dvm,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
katie.martinez,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
william.anderson,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
william.day,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
catherine.burch,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
timothy.perez,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
kathryn.jackson,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
travis.wise,Admin,Admin,User,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
elizabeth.sanchez,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
charles.hensley,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
david.martinez,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
victor.barrera,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
mr..md,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
adam.rodriguez,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
heidi.roberts,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
brent.brooks,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
andrew.reeves,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
william.stevenson,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
michael.whitney,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
mikayla.silva,Admin,Admin,User,GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Legal-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
melody.lee,Admin,Admin,User,GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Dev-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
shelley.fitzgerald,Admin,Admin,User,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
julia.patel,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
todd.hendrix,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
kenneth.daniels,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
jeremy.scott,Admin,Admin,User,GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Sales-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
patrick.allen,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
randy.smith,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
matthew.velez,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
ryan.peck,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
alexandra.bradley,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
brandi.gordon,User,User,Admin,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
alexis.rogers,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
james.davis,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
tiffany.turner,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
jared.shaw,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
lisa.perry,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
angela.griffin,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
brittany.murphy,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
jose.bryant,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
laura.williams,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
christopher.taylor,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
victor.baxter,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
william.davenport,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
christopher.lopez,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
kirk.griffin,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
wyatt.young,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
eric.brown,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
emma.butler,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
suzanne.hart,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
sarah.davis,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
kristin.mendoza,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
melissa.padilla,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
elizabeth.ward,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
angel.shields,Power User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
kelly.sanchez,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
joshua.white,Admin,Admin,User,GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Dev-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
jennifer.kirby,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
mary.jensen,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
nathan.nichols,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
manuel.king,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
courtney.dvm,Power User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
mr..phd,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
anthony.jones,Admin,Admin,User,GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Sales-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
laurie.goodwin,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
kimberly.reyes,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
david.jones,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
juan.bennett,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
angela.moore,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
derrick.anderson,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
rachel.shields,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
carolyn.james,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
john.jones,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
manuel.brock,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
